relative_path,file_type,experiment,model,section_candidate,paper_usability,bytes
app.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,21373
AUDIT_REPORT.md,.md,legacy/other,shared,Provenance/protocol,YES,14232
benchmark/__init__.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,72
benchmark/__pycache__/__init__.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,241
benchmark/__pycache__/aggregate.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,3887
benchmark/__pycache__/benchmark_runner.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,543
benchmark/__pycache__/clean.cpython-311.pyc,.pyc,legacy/other,shared,Clean results,SUPPORTING,9014
benchmark/__pycache__/efficiency.cpython-311.pyc,.pyc,legacy/other,shared,Efficiency,SUPPORTING,6168
benchmark/__pycache__/lava5.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,41387
benchmark/__pycache__/lava5_report.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,76430
benchmark/__pycache__/lava5_runtime.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,8957
benchmark/__pycache__/lava5_stress.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,13392
benchmark/__pycache__/pareto.cpython-311.pyc,.pyc,legacy/other,shared,Pareto,SUPPORTING,2610
benchmark/__pycache__/plot_baseline.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,8806
benchmark/__pycache__/runner.cpython-311.pyc,.pyc,legacy/other,shared,Supplement/reproducibility,SUPPORTING,3707
benchmark/aggregate.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,2447
benchmark/benchmark_runner.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,282
benchmark/clean.py,.py,legacy/other,shared,Clean results,SUPPORTING,4443
benchmark/efficiency.py,.py,legacy/other,shared,Efficiency,SUPPORTING,3989
benchmark/lava5.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,23983
benchmark/lava5_report.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,38515
benchmark/lava5_runtime.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,4001
benchmark/lava5_stress.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,8027
benchmark/pareto.py,.py,legacy/other,shared,Pareto,SUPPORTING,1875
benchmark/plot_baseline.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,5037
benchmark/robustness/__init__.py,.py,legacy/other,shared,Robustness,SUPPORTING,123
benchmark/robustness/__pycache__/__init__.cpython-311.pyc,.pyc,legacy/other,shared,Robustness,SUPPORTING,270
benchmark/robustness/__pycache__/compression.cpython-311.pyc,.pyc,legacy/other,shared,Robustness,SUPPORTING,627
benchmark/robustness/__pycache__/noise.cpython-311.pyc,.pyc,legacy/other,shared,Robustness,SUPPORTING,644
benchmark/robustness/__pycache__/replay.cpython-311.pyc,.pyc,legacy/other,shared,Robustness,SUPPORTING,536
benchmark/robustness/__pycache__/unseen.cpython-311.pyc,.pyc,legacy/other,shared,Robustness,SUPPORTING,608
benchmark/robustness/compression.py,.py,legacy/other,shared,Robustness,SUPPORTING,269
benchmark/robustness/noise.py,.py,legacy/other,shared,Robustness,SUPPORTING,285
benchmark/robustness/replay.py,.py,legacy/other,shared,Robustness,SUPPORTING,224
benchmark/robustness/unseen.py,.py,legacy/other,shared,Robustness,SUPPORTING,333
benchmark/runner.py,.py,legacy/other,shared,Supplement/reproducibility,SUPPORTING,2112
configs/aasist.json,.json,legacy/other,aasist,Supplement/reproducibility,YES,488
configs/efficientnet_b0_lstm.json,.json,legacy/other,efficientnet_b0_lstm,Supplement/reproducibility,YES,316
configs/mnasnet_lstm.json,.json,legacy/other,mnasnet_lstm,Supplement/reproducibility,YES,534
